X Y Z Distanz Orientierung Zeitstempel
3540.4 467.472 0 3571.13 7.5218 0
3538.17 468.077 0 3569 7.5361 0
3540.41 469.272 0 3571.38 7.5504 0
3541.41 470.304 0 3572.5 7.5647 0
3538.32 470.792 0 3569.5 7.579 0
3542.91 472.303 0 3574.25 7.5933 0
3533.99 472.012 0 3565.38 7.6076 0
3545.03 474.387 0 3576.63 7.6219 0
3541.81 474.856 0 3573.5 7.6362 0
3542.68 475.873 0 3574.5 7.6505 0
3546.16 477.241 0 3578.13 7.6648 0
3535.63 476.723 0 3567.63 7.6791 0
3538.36 477.99 0 3570.5 7.6934 0
3532.54 478.102 0 3564.75 7.7077 0
3546.54 480.898 0 3579 7.722 0
3535.9 480.353 0 3568.38 7.7363 0
3536.52 481.337 0 3569.13 7.7506 0
3534.05 481.899 0 3566.75 7.7649 0
3528.35 482.019 0 3561.13 7.7792 0
3533.68 483.646 0 3566.63 7.7935 0
3537.89 485.122 0 3571 7.8078 0
3527.87 484.644 0 3561 7.8221 0
3538.77 487.041 0 3572.13 7.8364 0
3532.45 487.071 0 3565.88 7.8507 0
3534.68 488.277 0 3568.25 7.865 0
3507.94 485.475 0 3541.38 7.8793 0
3483.92 483.038 0 3517.25 7.8936 0
3477.12 482.979 0 3510.5 7.9079 0
3476.5 483.777 0 3510 7.9222 0
3470.07 483.765 0 3503.63 7.9365 0
3475.76 485.444 0 3509.5 7.9508 0
3467.84 485.22 0 3501.63 7.9651 0
3470.57 486.484 0 3504.5 7.9794 0
3475.15 488.011 0 3509.25 7.9937 0
3469.71 488.13 0 3503.88 8.008 0
3475.4 489.815 0 3509.75 8.0223 0
3467.73 489.617 0 3502.13 8.0366 0
3463.65 489.922 0 3498.13 8.0509 0
3480.6 493.207 0 3515.38 8.0652 0
3471.57 492.81 0 3506.38 8.0795 0
3471.94 493.747 0 3506.88 8.0938 0
3468.48 494.138 0 3503.5 8.1081 0
3472.31 495.569 0 3507.5 8.1224 0
3468.11 495.851 0 3503.38 8.1367 0
3475.66 497.816 0 3511.13 8.151 0
3468.23 497.636 0 3503.75 8.1653 0
3478.38 499.977 0 3514.13 8.1796 0
3468.35 499.42 0 3504.13 8.1939 0
3476.15 501.428 0 3512.13 8.2082 0
3479.36 502.778 0 3515.5 8.2225 0
3468.84 502.142 0 3505 8.2368 0
3472.31 503.528 0 3508.63 8.2511 0
3467.6 503.73 0 3504 8.2654 0
3469.95 504.956 0 3506.5 8.2797 0
3471.43 506.056 0 3508.13 8.294 0
3475.64 507.555 0 3512.5 8.3083 0
3480.09 509.092 0 3517.13 8.3226 0
3467.84 508.184 0 3504.88 8.3369 0
3479.09 510.72 0 3516.38 8.3512 0
3477.48 511.37 0 3514.88 8.3655 0
3468.82 510.981 0 3506.25 8.3798 0
3481.8 513.781 0 3519.5 8.3941 0
3478.45 514.174 0 3516.25 8.4084 0
3481.66 515.537 0 3519.63 8.4227 0
3475.11 515.452 0 3513.13 8.437 0
3476.83 516.595 0 3515 8.4513 0
3487.33 519.045 0 3525.75 8.4656 0
3475.21 518.128 0 3513.63 8.4799 0
3466.92 517.776 0 3505.38 8.4942 0
3473.84 519.696 0 3512.5 8.5085 0
3474.7 520.711 0 3513.5 8.5228 0
3461.22 519.574 0 3500 8.5371 0
3469.5 521.702 0 3508.5 8.5514 0
3472.83 523.089 0 3512 8.5657 0
3439.45 518.939 0 3478.38 8.58 0
3415.09 516.137 0 3453.88 8.5943 0
3355.89 508.045 0 3394.13 8.6086 0
3250.09 492.859 0 3287.25 8.6229 0
2215.59 336.547 0 2241 8.6372 0
2907.91 442.453 0 2941.38 8.6515 0
